n,k,difficulty,solved,cost,time
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,8,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,8,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
8,10,easy,True,10,0.0
